,file,id_a,id_b,count_a,count_b
332,1190_131_200_3_2_S1136,131,200,7,0
333,333_186_200_6_8_S321,186,200,6185,9
334,912_4_187_7_6_S875,4,187,631,0
335,205_131_200_2_9_S197,131,200,4,0
336,67_4_156_10_7_S67,4,156,703,9
337,181_186_131_5_1_S177,186,131,0,7
338,1131_186_200_9_5_S1082,186,200,15,0
339,355_187_156_6_5_S343,187,156,111,3700
340,110_2_156_5_4_S106,2,156,0,197
341,665_186_4_1_2_S640,186,4,1,1
342,1101_2_187_6_3_S1052,2,187,0,0
343,536_186_4_9_1_S515,186,4,0,0
344,157_186_184_5_6_S153,186,184,5,84
345,826_156_200_8_1_S793,156,200,3,0
346,178_186_184_3_6_S174,186,184,0,9
347,841_2_184_3_8_S808,2,184,0,14
348,560_156_184_6_7_S539,156,184,2,0
349,876_4_184_2_2_S839,4,184,23,2983
350,420_4_184_7_3_S403,4,184,740,497
351,183_186_131_5_3_S179,186,131,12,4150
352,1089_2_131_9_2_S1040,2,131,0,17
353,1174_2_186_8_7_S1120,2,186,0,1
354,266_131_156_1_4_S258,131,156,0,0
355,483_187_200_4_3_S462,187,200,14,0
356,910_4_187_7_4_S873,4,187,7,0
357,357_131_156_3_5_S345,131,156,0,0
358,427_131_200_4_2_S410,131,200,39,0
359,638_2_187_1_5_S613,2,187,0,66
360,673_186_156_1_1_S644,186,156,1,5
361,1092_186_131_9_1_S1043,186,131,5,10709
362,174_186_184_4_3_S170,186,184,23,5029
363,424_131_200_4_5_S407,131,200,5,0
364,899_4_184_6_7_S862,4,184,1599,0
365,867_187_156_10_3_S830,187,156,4,1662
366,396_131_187_10_5_S379,131,187,5345,100
367,33_4_156_8_5_S33,4,156,37,3
368,362_184_200_6_3_S350,184,200,5461,6
369,217_186_184_5_6_S209,186,184,0,12638
370,236_2_184_5_4_S228,2,184,0,4
371,1034_184_200_8_7_S992,184,200,8645,0
372,112_2_156_5_5_S108,2,156,0,1618
373,180_186_131_5_10_S176,186,131,1,2739
374,182_186_131_5_9_S178,186,131,2,9
375,482_187_200_4_2_S461,187,200,17,0
376,472_131_156_10_5_S455,131,156,0,0
377,827_156_200_8_2_S794,156,200,10118,1
378,64_4_156_5_9_S64,4,156,5,71
379,1197_131_200_3_9_S1143,131,200,8,0
380,1061_2_131_2_5_S1012,2,131,0,5739
381,22_4_156_5_4_S22,4,156,7,582
382,486_187_200_7_1_S465,187,200,90,0
383,237_156_184_5_7_S229,156,184,3,0
384,596_131_184_10_3_S571,131,184,5,0
385,432_4_184_7_2_S415,4,184,9,4
386,609_4_131_9_5_S584,4,131,4,4
387,549_2_184_4_6_S528,2,184,0,2
388,846_4_131_4_4_S813,4,131,3,11
389,703_2_156_8_2_S674,2,156,1,2866
390,506_187_184_1_1_S485,187,184,0,3
391,1015_131_184_7_5_S973,131,184,31,4
392,89_2_4_7_7_S89,2,4,1,24
393,996_186_187_2_2_S954,186,187,32,13579
394,448_187_200_7_4_S431,187,200,3,0
395,923_187_156_5_8_S886,187,156,0,299
396,562_186_184_10_2_S541,186,184,0,4
397,690_186_131_2_4_S661,186,131,0,2250
398,293_2_4_8_6_S281,2,4,14,2146
399,203_131_187_4_5_S195,131,187,7,0
400,675_186_156_1_2_S646,186,156,0,7
401,240_186_131_10_5_S232,186,131,8,7953
402,617_131_187_6_6_S592,131,187,10312,3
403,348_131_156_2_2_S336,131,156,0,0
404,858_186_156_5_6_S825,186,156,0,0
405,296_2_4_8_2_S284,2,4,334,11690
406,160_186_184_3_7_S156,186,184,141,4947
407,450_187_200_7_2_S433,187,200,2,0
408,528_156_200_5_2_S507,156,200,9254,0
409,306_187_156_6_2_S294,187,156,0,10329
410,50_4_156_8_1_S50,4,156,12,18
411,567_131_187_7_1_S546,131,187,7860,176
412,1041_131_186_7_4_S999,131,186,1047,4
413,52_4_156_1_3_S52,4,156,4872,28
414,125_2_4_5_4_S121,2,4,0,4936
415,724_2_200_9_6_S695,2,200,201,1
416,84_4_156_3_6_S84,4,156,3,2
